Date,Actual Return,VaR Normal,VaR t-Distribution,VaR Skewed Normal
2325,0.0144301851122043,-0.03306798586036386,-0.03905505739907144,-0.03510378053032416
2326,0.0058382771390097,-0.03306190255681979,-0.03901883425242427,-0.035106096474504675
2327,0.013996228331177,-0.03306113168894076,-0.03900256708564413,-0.03510592068307332
2328,0.0038031842533305,-0.03306175754288962,-0.03894431491713772,-0.035112287977410575
2329,-0.0055633190111617,-0.033062386515820455,-0.03896634458611227,-0.035111301856348295
2330,-0.0026218156245684,-0.03307009101935588,-0.03894335150656547,-0.03511718250453294
2331,0.003893205925474,-0.033074105476566515,-0.038935769598345216,-0.03511912251242957
2332,0.0010258173669389,-0.03306808326277946,-0.03892977556365034,-0.03511729907008449
2333,0.0002687370890068,-0.03306885918973616,-0.03893162315651335,-0.0351171871114702
2334,-0.0040843870400686,-0.03306943753418235,-0.038932087803769,-0.035117580737589485
2335,0.0131952632769844,-0.033078192509286494,-0.03896674300848839,-0.03512064354290703
2336,-0.0024457943455167,-0.03307545036458884,-0.03891307226308536,-0.03512379145927097
2337,0.0035818765090251,-0.033077854834381214,-0.03890683959118756,-0.03512516860618656
2338,0.0006519703697474,-0.03307828150703667,-0.03891399873287521,-0.03512445202422926
2339,-0.000169062082305,-0.033079092712798894,-0.03891590065046619,-0.03512564018477893
2340,-0.0054718949776505,-0.03307979827586272,-0.03891550095552189,-0.035125148838098565
2341,0.0007766952527216,-0.033075405623257295,-0.0389253800244892,-0.035121644481248084
2342,0.0010424741243905,-0.0330719426467074,-0.03893099243903009,-0.0351194226377322
2343,-0.016001188165714,-0.03307362936294619,-0.03898302060031536,-0.03511725170543479
2344,-0.0042444107621474,-0.033105607455685256,-0.038985564331252213,-0.035150136244670706
2345,0.0197123811954559,-0.03307071386952403,-0.03897610683200949,-0.0351137188774783
2346,0.0084988446649928,-0.033079461601346186,-0.038957255337362,-0.03512744973682319
2347,-0.0010102223192106,-0.033072222627904865,-0.038920326536126,-0.0351264943789571
2348,-0.0113027962066765,-0.033076720275137965,-0.03893937236508205,-0.03512740615897203
2349,-0.0068877705780476,-0.03301950467640481,-0.038811102867411434,-0.035056713016335214
2350,-0.0071080506134622,-0.03303380268036824,-0.03883049176449931,-0.035063439009710644
2351,0.0183432127848099,-0.0330489684076051,-0.038828708421334124,-0.035073042399570396
2352,0.0002665405966378,-0.03305956936082957,-0.03884646493447451,-0.035083198533033405
2353,-0.0043949471565932,-0.033048949740310675,-0.038872769424577416,-0.035075231648960384
2354,0.004661416728272,-0.033044555743802766,-0.03888530115920816,-0.03507258544347322
2355,-0.0017453708106101,-0.03304441250830286,-0.03891677662903992,-0.03506993132035652
2356,-0.0013111070072381,-0.033042468792603585,-0.038922633041722034,-0.03506911329871006
2357,0.0034439501729746,-0.03301861446507704,-0.03895474117951616,-0.03504720687547851
2358,-0.0067049741326557,-0.033017896240983426,-0.03894816528289421,-0.03504680134940647
2359,0.0120658980364833,-0.0330116371559678,-0.038956607998188404,-0.035040598398398404
2360,0.0095870482117656,-0.032999562910968366,-0.03892529051623375,-0.03503741692181385
2361,-0.0014561410372982,-0.03299901837232037,-0.03887683584650525,-0.03504002106467918
2362,0.0004059214430826,-0.0329712405056339,-0.03890314972601808,-0.035013324435871185
2363,-0.0112862528434366,-0.03296754408962089,-0.03891047743541724,-0.03501131893346837
2364,-0.0072708755717165,-0.0329757752977156,-0.0388769175179854,-0.0350125292269792
2365,0.0086224306265188,-0.032991079884672384,-0.038893866475716486,-0.03502183339759423
2366,0.0128674023584558,-0.032991406019850254,-0.03887863811366609,-0.03502278020097761
2367,0.0003810097874363,-0.03299366777930678,-0.03887346873055851,-0.03502562669743578
2368,-0.005560661323444,-0.03299647975482276,-0.038891637791606974,-0.0350259974328512
2369,0.0094561462869775,-0.03300467514025958,-0.03886853897570343,-0.03503217961516124
2370,0.0143577534610759,-0.032999640743086374,-0.03881953653557742,-0.03503174307038566
2371,-0.0019181917226002,-0.033003970635791136,-0.03877710028853122,-0.035040589412392395
2372,0.0021750619494945,-0.03300504173134653,-0.03877445528990508,-0.03504119080342126
2373,-0.0034638371258637,-0.033003485470412076,-0.03877062743005853,-0.0350399281652095
2374,0.0060305382662294,-0.033010565243973514,-0.03881623376627557,-0.03504070182839494
2375,0.0017926760022875,-0.03300904953039083,-0.03879046346682262,-0.03504110416219471
2376,0.0090307601919566,-0.03301025900351394,-0.03884094072192544,-0.035038664462948725
2377,0.0065713917191606,-0.03300545029235143,-0.03879333208222456,-0.035039750953185705
2378,0.0011900873028904,-0.03300045521146814,-0.038762197440110495,-0.03503887543499831
2379,0.012321508104601,-0.032980828485855145,-0.038797830753836735,-0.03502176728156629
2380,-0.0034119254248672,-0.03297869400746615,-0.03873922418339971,-0.03502673866130212
2381,-0.0052016893288783,-0.03298611257328737,-0.03873895583378198,-0.03503043876148461
2382,-0.0051369505793338,-0.03299729146714086,-0.03874029950606357,-0.035036388116188324
2383,0.0036032541348287,-0.033008041353145,-0.03877009670137807,-0.03504052922723786
2384,-0.0075888917963186,-0.03300746942543106,-0.03876468633503296,-0.035040703582105044
2385,-0.0040939695903333,-0.03302366852269208,-0.038777679913618704,-0.03504961383061547
2386,0.0109035354929576,-0.033028083818552385,-0.03876596182229752,-0.03505212129479361
2387,0.0005043347945182,-0.03301766328323253,-0.03872913300052056,-0.03505010068213299
2388,0.0039335642771906,-0.033018353539598706,-0.03873084041295898,-0.03504944062234237
2389,0.011731729778611,-0.03301866044533781,-0.03873638968007599,-0.035049662153705745
2390,0.0011497415094369,-0.0330192761192133,-0.03868259830898205,-0.035053970500578575
2391,-0.0014884369310087,-0.03302133058346963,-0.03869838738914129,-0.035054796154861505
2392,-0.0078613848863226,-0.03302345533949139,-0.038696488667237496,-0.03505613108514567
2393,-0.0025278408950299,-0.033032579758701545,-0.03867519222382021,-0.035063443542279533
2394,0.0025278408950299,-0.033024710445119704,-0.038695998890894576,-0.035057722269199273
2395,0.0063484393303605,-0.03302535571657472,-0.038701460056625524,-0.03505688935443805
2396,0.0080137560380391,-0.03301330626630101,-0.03869169031922372,-0.03505105558061246
2397,0.0079054698790056,-0.033012035615534986,-0.03865432310522532,-0.035052702651311655
2398,-0.0006230817450703,-0.03301214500599096,-0.03864847091156761,-0.035052954390894044
2399,0.0034662222943861,-0.033016110736303485,-0.03866690667088702,-0.03505412852482152
2400,0.0074033138457207,-0.03300634689330506,-0.038673489355289394,-0.03504863990621244
2401,0.0022211470112488,-0.03300639244398588,-0.038668343309539874,-0.03504880022682229
2402,-0.0066566246827044,-0.0330021677080329,-0.03866781503045327,-0.03504708574474592
2403,0.0,-0.03300978532299805,-0.03864734974595757,-0.03505286536922597
2404,0.0044575387583285,-0.032988142459905806,-0.038680928247646684,-0.035034344896635386
2405,0.0027261366628558,-0.03296930820222589,-0.03869826398281141,-0.03502062049131209
2406,0.0001537169374117,-0.0329541661586576,-0.03872227409309981,-0.035009719905215474
2407,-0.0066520098733428,-0.03284531902446728,-0.0385613315332855,-0.03487966610125461
2408,0.009742706053792,-0.03285551307776526,-0.03859122347457,-0.034880965731706695
2409,0.0019022649958251,-0.0328532602336889,-0.0385384552378188,-0.034884685041170684
2410,-0.0028656279249203,-0.0328419062935964,-0.03855865541502378,-0.03486962386343179
2411,-0.0140084417648974,-0.03283448018634233,-0.03857902590826604,-0.03486323039455237
2412,-0.0028701655706379,-0.032840141477491265,-0.03858631731997747,-0.03486962272117015
2413,-0.0045330350613722,-0.0328412592581995,-0.03863096536681444,-0.03486332468665971
2414,0.0086907396411021,-0.032742073979668655,-0.038456831781006104,-0.034743246925278706
2415,-0.004358222148823,-0.03274109109653467,-0.03841484476770603,-0.034744773203600046
2416,-0.0067075965786288,-0.03274576403346368,-0.03845404347033542,-0.034741954361436025
2417,0.0003588228458322,-0.03275793937902739,-0.038485878286200696,-0.03474733220008247
2418,-0.0005831436867974,-0.03274443457276159,-0.038516691198131406,-0.03473613828598965
2419,0.0055046664555542,-0.0327484920023751,-0.03856274082210549,-0.034736116707100584
2420,-0.0117171605991673,-0.03274467802860743,-0.03853637668278375,-0.03473493229902551
2421,-0.0073651979854371,-0.03268517401592714,-0.038398746914149934,-0.03466142664224598
2422,-0.0076489796458701,-0.03269958259604775,-0.0384264969060058,-0.034668234417771726
2423,0.0004811687236127,-0.03270710863885636,-0.038409165964837344,-0.03467441118093055
2424,0.0064851242995792,-0.03271015795115065,-0.03844665178917172,-0.03467419205514016
2425,-0.0027123316901982,-0.032707128947986816,-0.03847335528828175,-0.034668523258046924
2426,0.0110762649909374,-0.03271015514424432,-0.03846565613785702,-0.03467113172758942
2427,-0.0139560002013357,-0.03269909978744485,-0.0384304955635615,-0.03466772718991531
2428,0.0070249417234311,-0.03273179227528595,-0.03846709340128799,-0.034693423339630824
2429,0.0063214922826102,-0.032728681895996196,-0.03848855455369434,-0.03468918846362119
2430,0.0143511660749615,-0.0327259309141363,-0.038456271473111266,-0.03468895548431917
2431,0.0041103855830216,-0.03272781134512809,-0.03840154084872586,-0.034695336217215524
2432,-0.0014645218300002,-0.032724502200766864,-0.038386111287690115,-0.034694466366990466
